City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Seoul,KR,37.5683,126.9778,49.44,82,0,3.44,clear sky
1,Sinnamary,GF,5.3833,-52.95,77.25,89,97,9.6,overcast clouds
2,Severo-Kurilsk,RU,50.6789,156.125,32.65,87,95,2.3,overcast clouds
3,Hithadhoo,MV,-0.6,73.0833,82.89,73,99,4.5,overcast clouds
4,Inta,RU,66.0317,60.1659,30.49,98,100,11.18,light snow
5,Dikson,RU,73.5069,80.5464,2.44,95,100,14.45,overcast clouds
6,Port Alfred,ZA,-33.5906,26.891,64.8,82,48,3.09,scattered clouds
7,Mumford,GH,5.2618,-0.759,78.21,80,100,5.08,overcast clouds
8,Rikitea,PF,-23.1203,-134.9692,78.57,70,7,14.45,clear sky
9,Trondheim,NO,63.4305,10.3951,44.65,65,15,4.07,few clouds
10,Tasiilaq,GL,65.6145,-37.6368,31.21,98,100,2.37,light snow
11,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,62,0,11.5,clear sky
12,Busselton,AU,-33.65,115.3333,61.7,86,97,5.68,overcast clouds
13,Nikolskoye,RU,59.7035,30.7861,40.8,91,85,3.38,overcast clouds
14,Ahipara,NZ,-35.1667,173.1667,73.99,73,11,9.53,few clouds
15,Mitsamiouli,KM,-11.3847,43.2844,80.83,75,11,4.14,few clouds
16,Kapaa,US,22.0752,-159.319,72.48,87,14,1.01,light rain
17,Vila Velha,BR,-20.3297,-40.2925,76.95,79,20,8.05,few clouds
18,Lebu,CL,-37.6167,-73.65,54.34,92,100,3.13,overcast clouds
19,Albany,US,42.6001,-73.9662,51.93,37,100,5.01,overcast clouds
20,Vaini,TO,-21.2,-175.2,84.36,84,75,10.36,broken clouds
21,Ushuaia,AR,-54.8,-68.3,47.86,66,75,9.22,broken clouds
22,Batemans Bay,AU,-35.7167,150.1833,63.1,67,100,3.71,overcast clouds
23,Avarua,CK,-21.2078,-159.775,82.45,69,80,4.61,broken clouds
24,Humboldt,US,40.6665,-123.9178,45.68,97,100,10.54,moderate rain
25,Kindu,CD,-2.95,25.95,69.75,100,98,2.51,moderate rain
26,Punta Arenas,CL,-53.15,-70.9167,48.31,81,75,12.66,broken clouds
27,Rocha,UY,-34.4833,-54.3333,62.64,80,65,7.54,broken clouds
28,Cherskiy,RU,68.75,161.3,24.1,88,100,6.76,overcast clouds
29,Fort Nelson,CA,58.8053,-122.7002,26.19,43,75,6.91,broken clouds
30,Kavieng,PG,-2.5744,150.7967,85.24,67,94,15.1,overcast clouds
31,Bluff,NZ,-46.6,168.3333,56.8,78,100,6.08,overcast clouds
32,Hilo,US,19.7297,-155.09,80.28,87,96,1.99,overcast clouds
33,San Quintin,MX,30.4833,-115.95,66.99,63,8,22.12,clear sky
34,Bela Vista De Goias,BR,-16.9728,-48.9533,78.15,57,10,4.32,clear sky
35,Kirakira,SB,-10.4544,161.9205,83.3,73,100,5.53,overcast clouds
36,Paita,PE,-5.0892,-81.1144,70.18,76,72,17.74,broken clouds
37,Mapastepec,MX,15.4333,-92.9,89.22,57,16,7.83,few clouds
38,Jalu,LY,29.0331,21.5482,62.73,58,2,13.29,clear sky
39,Ancud,CL,-41.8697,-73.8203,51.22,86,83,6.24,broken clouds
40,Thompson,CA,55.7435,-97.8558,37.56,44,75,8.05,broken clouds
41,Oranjestad,AW,12.524,-70.027,82.35,78,20,25.32,few clouds
42,Henties Bay,NA,-22.116,14.2845,65.34,68,13,3.74,few clouds
43,Arona,ES,28.0996,-16.681,62.82,77,0,16.11,clear sky
44,Cabo San Lucas,MX,22.8909,-109.9124,88.61,48,12,3.0,few clouds
45,Caluquembe,AO,-13.7833,14.6833,59.9,96,70,4.14,broken clouds
46,Arraial Do Cabo,BR,-22.9661,-42.0278,71.46,83,40,2.3,scattered clouds
47,Ribeira Grande,PT,38.5167,-28.7,59.27,69,21,18.63,few clouds
48,Bilibino,RU,68.0546,166.4372,21.02,85,89,1.86,overcast clouds
49,Bredasdorp,ZA,-34.5322,20.0403,58.33,96,10,4.16,clear sky
50,Hermanus,ZA,-34.4187,19.2345,60.8,90,8,11.54,clear sky
51,Iqaluit,CA,63.7506,-68.5145,1.13,71,100,6.91,light snow
52,Muros,ES,42.7762,-9.0603,51.84,79,16,14.81,few clouds
53,Carutapera,BR,-1.195,-46.02,76.98,86,100,4.54,moderate rain
54,Serta,PT,39.8085,-8.0988,51.94,88,35,9.42,scattered clouds
55,Tuatapere,NZ,-46.1333,167.6833,59.94,74,100,2.84,light rain
56,Saint-Philippe,RE,-21.3585,55.7679,76.59,87,31,11.41,scattered clouds
57,Longyearbyen,SJ,78.2186,15.6401,12.04,79,0,5.75,clear sky
58,Padang,ID,-0.9492,100.3543,75.25,87,100,4.41,overcast clouds
59,Rio Gallegos,AR,-51.6226,-69.2181,46.45,81,0,10.36,clear sky
60,Cambridge,CA,43.3601,-80.3127,33.53,96,100,12.66,snow
61,Mazyr,BY,52.0495,29.2456,33.91,95,100,4.61,overcast clouds
62,Lompoc,US,34.6391,-120.4579,74.57,60,75,31.0,broken clouds
63,Tiksi,RU,71.6872,128.8694,3.99,100,100,3.02,overcast clouds
64,Mabaruma,GY,8.2,-59.7833,75.69,80,100,5.79,overcast clouds
65,Souillac,MU,-20.5167,57.5167,79.18,89,40,8.05,scattered clouds
66,Klaksvik,FO,62.2266,-6.589,45.52,91,64,34.23,light rain
67,Faanui,PF,-16.4833,-151.75,81.57,72,9,8.99,clear sky
68,Namibe,AO,-15.1961,12.1522,74.62,76,89,3.13,light rain
69,Saurimo,AO,-9.6608,20.3916,66.04,96,92,4.05,overcast clouds
