City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Sinnamary,GF,77.25,overcast clouds,5.3833,-52.95,
3,Hithadhoo,MV,82.89,overcast clouds,-0.6,73.0833,
7,Mumford,GH,78.21,overcast clouds,5.2618,-0.759,
8,Rikitea,PF,78.57,clear sky,-23.1203,-134.9692,
15,Mitsamiouli,KM,80.83,few clouds,-11.3847,43.2844,
17,Vila Velha,BR,76.95,few clouds,-20.3297,-40.2925,
20,Vaini,TO,84.36,broken clouds,-21.2,-175.2,
23,Avarua,CK,82.45,broken clouds,-21.2078,-159.775,
30,Kavieng,PG,85.24,overcast clouds,-2.5744,150.7967,
32,Hilo,US,80.28,overcast clouds,19.7297,-155.09,
34,Bela Vista De Goias,BR,78.15,clear sky,-16.9728,-48.9533,
35,Kirakira,SB,83.3,overcast clouds,-10.4544,161.9205,
37,Mapastepec,MX,89.22,few clouds,15.4333,-92.9,
41,Oranjestad,AW,82.35,few clouds,12.524,-70.027,
44,Cabo San Lucas,MX,88.61,few clouds,22.8909,-109.9124,
53,Carutapera,BR,76.98,moderate rain,-1.195,-46.02,
56,Saint-Philippe,RE,76.59,scattered clouds,-21.3585,55.7679,
58,Padang,ID,75.25,overcast clouds,-0.9492,100.3543,
64,Mabaruma,GY,75.69,overcast clouds,8.2,-59.7833,
65,Souillac,MU,79.18,scattered clouds,-20.5167,57.5167,
67,Faanui,PF,81.57,clear sky,-16.4833,-151.75,
75,Karratha,AU,80.22,clear sky,-20.7377,116.8463,
80,Dwarka,IN,79.83,clear sky,22.2394,68.9678,
81,Bilma,NE,79.2,broken clouds,18.6853,12.9164,
83,Mecca,SA,85.24,few clouds,21.4267,39.8261,
86,Porto Velho,BR,75.25,light rain,-8.7619,-63.9039,
88,Mahebourg,MU,79.09,scattered clouds,-20.4081,57.7,
89,Atuona,PF,79.88,scattered clouds,-9.8,-139.0333,
90,Iquitos,PE,77.04,broken clouds,-3.7481,-73.2472,
107,Kloulklubed,PW,79.3,broken clouds,7.0419,134.2556,
108,Kendari,ID,78.71,overcast clouds,-3.945,122.4989,
114,Georgetown,MY,79.95,few clouds,5.4112,100.3354,
118,Oistins,BB,78.89,scattered clouds,13.0667,-59.5333,
126,San Cristobal,VE,75.38,overcast clouds,7.7669,-72.225,
131,Ugoofaaru,MV,83.8,overcast clouds,5.6667,73.0,
136,Taoudenni,ML,80.24,clear sky,22.6783,-3.9836,
138,Kishanpur,IN,86.16,clear sky,25.65,81.0167,
141,Lorengau,PG,84.88,overcast clouds,-2.0226,147.2712,
143,Butaritari,KI,81.79,few clouds,3.0707,172.7902,
147,Bowen,AU,76.41,clear sky,-20.0167,148.2333,
149,Tubuala,PA,80.6,overcast clouds,9.5167,-79.0333,
150,West Bay,KY,86.07,few clouds,19.3667,-81.4167,
