City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,73.13,76,4,9.75,clear sky
1,Auki,SB,-8.7676,160.7034,86.5,65,85,3.4,overcast clouds
2,Kaitangata,NZ,-46.2817,169.8464,56.37,87,93,9.33,moderate rain
3,Faanui,PF,-16.4833,-151.75,81.46,69,14,7.56,few clouds
4,Mount Gambier,AU,-37.8333,140.7667,60.31,52,100,7.87,overcast clouds
5,Butaritari,KI,3.0707,172.7902,81.72,79,73,13.69,light rain
6,East London,ZA,-33.0153,27.9116,68.94,64,0,6.91,clear sky
7,Outjo,NA,-20.1167,16.15,57.45,54,30,9.53,scattered clouds
8,Sitka,US,57.0531,-135.33,48.09,66,20,9.22,few clouds
9,Mataura,NZ,-46.1927,168.8643,55.47,98,100,3.69,light rain
10,Bathsheba,BB,13.2167,-59.5167,79.41,73,40,16.11,scattered clouds
11,Mar Del Plata,AR,-38.0023,-57.5575,60.87,93,100,3.44,mist
12,El Dorado,US,38.7666,-120.5177,51.8,71,70,1.99,broken clouds
13,Springdale,US,36.1867,-94.1288,65.93,95,100,8.05,overcast clouds
14,Angoche,MZ,-16.2325,39.9086,73.81,93,92,10.47,overcast clouds
15,Hithadhoo,MV,-0.6,73.0833,82.76,69,83,4.38,broken clouds
16,Omboue,GA,-1.5746,9.2618,78.51,90,100,6.04,overcast clouds
17,Karratha,AU,-20.7377,116.8463,91.99,25,3,17.69,clear sky
18,Lompoc,US,34.6391,-120.4579,57.34,84,0,11.01,clear sky
19,Garowe,SO,8.4054,48.4845,71.98,86,95,7.18,overcast clouds
20,Kapaa,US,22.0752,-159.319,80.58,93,100,17.27,light rain
21,Te Anau,NZ,-45.4167,167.7167,55.62,95,100,3.09,overcast clouds
22,Bandarbeyla,SO,9.4942,50.8122,80.37,77,8,2.55,clear sky
23,Ayan,RU,56.45,138.1667,30.36,84,92,5.26,overcast clouds
24,Cidreira,BR,-30.1811,-50.2056,66.61,82,4,10.58,clear sky
25,Suzun,RU,53.7841,82.3116,40.41,88,100,4.76,light rain
26,Clyde River,CA,70.4692,-68.5914,1.63,78,100,5.75,overcast clouds
27,Poum,NC,-20.2333,164.0167,78.48,72,20,14.16,few clouds
28,Nikolskoye,RU,59.7035,30.7861,40.89,97,20,5.99,few clouds
29,Arman,RU,59.7,150.1667,34.02,65,100,2.15,overcast clouds
30,Nanma,CN,36.1817,118.1583,73.45,36,0,21.5,clear sky
31,Punta Arenas,CL,-53.15,-70.9167,44.71,70,75,13.8,broken clouds
32,Jamestown,US,42.097,-79.2353,46.04,45,75,9.22,broken clouds
33,Treinta Y Tres,UY,-33.2333,-54.3833,63.93,71,100,11.16,overcast clouds
34,Rikitea,PF,-23.1203,-134.9692,78.84,72,64,19.19,broken clouds
35,Puerto Penasco,MX,31.3167,-113.5333,72.91,80,0,8.01,clear sky
36,Talara,PE,-4.5772,-81.2719,67.91,85,76,13.2,broken clouds
37,Bredasdorp,ZA,-34.5322,20.0403,60.51,84,75,3.33,broken clouds
38,Rtishchevo,RU,52.2604,43.7874,49.33,86,100,10.78,overcast clouds
39,Dengzhou,CN,37.8086,120.7508,69.93,40,7,20.65,clear sky
40,Esperance,AU,-33.8667,121.9,63.05,58,100,9.19,overcast clouds
41,Paamiut,GL,61.994,-49.6678,29.12,84,100,17.81,snow
