City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Bathsheba,13.2167,-59.5167,79.41,69,20,17.27,BB,2022-04-14 03:23:21
1,Nikolskoye,59.7035,30.7861,34.81,91,92,2.93,RU,2022-04-14 03:18:35
2,New Norfolk,-42.7826,147.0587,65.91,49,100,3.0,AU,2022-04-14 03:23:21
3,Goksun,38.021,36.4973,31.42,54,0,6.8,TR,2022-04-14 03:23:22
4,Ostrovnoy,68.0531,39.5131,12.27,96,91,7.16,RU,2022-04-14 03:23:23
5,Hamilton,39.1834,-84.5333,61.63,95,100,8.05,US,2022-04-14 03:23:08
6,Ribeira Grande,38.5167,-28.7,59.2,65,0,12.62,PT,2022-04-14 03:23:23
7,Dubbo,-32.25,148.6167,75.33,43,40,12.66,AU,2022-04-14 03:20:27
8,Bluff,-46.6,168.3333,59.81,77,75,20.27,NZ,2022-04-14 03:23:23
9,Klaksvik,62.2266,-6.589,41.92,86,58,17.49,FO,2022-04-14 03:20:40
10,Ayia Galini,35.1,24.6833,52.84,42,91,4.81,GR,2022-04-14 03:23:24
11,Ponta Do Sol,32.6667,-17.1,64.0,83,55,1.9,PT,2022-04-14 03:23:25
12,Saint Anthony,45.0205,-93.218,35.38,55,0,18.41,US,2022-04-14 03:20:10
13,Comodoro Rivadavia,-45.8667,-67.5,62.46,48,0,14.97,AR,2022-04-14 03:21:48
14,Roebourne,-20.7833,117.1333,94.55,20,0,3.85,AU,2022-04-14 03:23:25
15,Chuy,-33.6971,-53.4616,52.11,80,2,7.38,UY,2022-04-14 03:23:26
16,Punta Arenas,-53.15,-70.9167,51.91,66,20,34.52,CL,2022-04-14 03:20:55
17,Barrow,71.2906,-156.7887,1.42,92,0,12.66,US,2022-04-14 03:20:36
18,Upernavik,72.7868,-56.1549,-11.69,100,93,6.51,GL,2022-04-14 03:23:26
19,Awbari,26.5921,12.7805,77.4,9,0,7.16,LY,2022-04-14 03:23:27
20,Kodiak,57.79,-152.4072,44.11,49,0,16.11,US,2022-04-14 03:18:51
21,Lebu,-37.6167,-73.65,51.48,91,5,13.65,CL,2022-04-14 03:23:27
22,Cherskiy,68.75,161.3,12.67,88,100,8.81,RU,2022-04-14 03:23:27
23,Port Elizabeth,-33.918,25.5701,65.32,86,20,12.66,ZA,2022-04-14 03:23:28
24,Leningradskiy,69.3833,178.4167,8.38,91,95,14.12,RU,2022-04-14 03:23:28
25,Paamiut,61.994,-49.6678,26.96,89,100,21.12,GL,2022-04-14 03:18:58
26,Vaini,-21.2,-175.2,82.56,89,40,8.05,TO,2022-04-14 03:23:29
27,Lagoa,39.05,-27.9833,58.33,61,0,17.38,PT,2022-04-14 03:23:29
28,Namwala,-15.7504,26.4384,62.58,91,53,4.07,ZM,2022-04-14 03:23:30
29,Grand Gaube,-20.0064,57.6608,79.38,83,45,7.0,MU,2022-04-14 03:23:30
30,Poum,-20.2333,164.0167,78.55,75,7,6.46,NC,2022-04-14 03:23:30
31,Rikitea,-23.1203,-134.9692,78.4,70,10,19.1,PF,2022-04-14 03:23:12
32,Dargaville,-35.9333,173.8833,64.9,56,99,11.23,NZ,2022-04-14 03:23:31
33,Port Hardy,50.6996,-127.4199,42.8,75,75,11.5,CA,2022-04-14 03:23:31
34,Hithadhoo,-0.6,73.0833,83.84,74,100,9.37,MV,2022-04-14 03:18:49
35,Erenhot,43.6475,111.9767,41.67,24,4,14.76,CN,2022-04-14 03:23:32
36,Busselton,-33.65,115.3333,68.31,45,0,6.35,AU,2022-04-14 03:23:32
37,Cidreira,-30.1811,-50.2056,67.17,76,100,8.41,BR,2022-04-14 03:21:06
38,Cape Town,-33.9258,18.4232,63.88,86,0,16.11,ZA,2022-04-14 03:21:33
39,Murovane,49.5214,22.9367,39.7,77,0,3.96,UA,2022-04-14 03:23:33
40,Saint-Pierre,-21.3393,55.4781,75.9,88,20,3.44,RE,2022-04-14 03:23:33
41,Qaanaaq,77.484,-69.3632,-4.38,93,100,4.25,GL,2022-04-14 03:23:34
42,Kapaa,22.0752,-159.319,80.58,84,100,13.8,US,2022-04-14 03:23:34
43,Calabozo,8.9242,-67.4293,86.05,47,100,12.66,VE,2022-04-14 03:23:35
44,Orlik,52.5178,99.825,14.05,72,34,0.83,RU,2022-04-14 03:23:35
45,Faanui,-16.4833,-151.75,81.66,73,9,15.43,PF,2022-04-14 03:23:36
46,Khorramshahr,30.4397,48.1664,69.76,35,40,11.5,IR,2022-04-14 03:23:36
47,Dandong,40.1292,124.3947,61.72,28,48,2.86,CN,2022-04-14 03:24:36
48,Bethel,41.3712,-73.414,64.49,80,100,5.75,US,2022-04-14 03:24:37
49,Ushuaia,-54.8,-68.3,47.86,66,20,29.93,AR,2022-04-14 03:24:37
50,Tuktoyaktuk,69.4541,-133.0374,-0.4,78,0,9.22,CA,2022-04-14 03:24:38
51,Iquique,-20.2208,-70.1431,62.64,75,47,3.91,CL,2022-04-14 03:24:38
52,Fortuna,40.5982,-124.1573,45.66,90,100,16.11,US,2022-04-14 03:24:39
53,Padang,-0.9492,100.3543,87.85,64,62,3.8,ID,2022-04-14 03:23:38
54,Pangai,-19.8,-174.35,84.31,65,20,8.05,TO,2022-04-14 03:24:39
55,Dunedin,-45.8742,170.5036,59.2,52,39,5.48,NZ,2022-04-14 03:24:40
56,Hobart,-42.8794,147.3294,66.25,57,75,6.91,AU,2022-04-14 03:21:32
57,Dikson,73.5069,80.5464,21.38,96,98,8.5,RU,2022-04-14 03:24:40
58,Butaritari,3.0707,172.7902,81.66,76,34,14.88,KI,2022-04-14 03:24:41
59,Jamestown,42.097,-79.2353,66.18,52,100,6.91,US,2022-04-14 03:21:10
